filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),1,20.00%,5/6 (83.33%),4.80,0.45,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),4,80.00%,5/6 (83.33%),4.80,0.45,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,5/6 (83.33%),4.80,0.45,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,5/6 (83.33%),4.80,0.45,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),0,0.00%,5/6 (83.33%),4.80,0.45,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),1,20.00%,5/6 (83.33%),4.80,0.45,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),4,80.00%,5/6 (83.33%),4.80,0.45,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,5/6 (83.33%),4.80,0.45,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,5/6 (83.33%),4.80,0.45,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),0,0.00%,5/6 (83.33%),4.80,0.45,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),1,20.00%,5/6 (83.33%),4.80,0.45,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),4,80.00%,5/6 (83.33%),4.80,0.45,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,8,The course was difficult.,Strongly disagree,(1),1,20.00%,5/6 (83.33%),2.60,1.14,3.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,8,The course was difficult.,Disagree,(2),1,20.00%,5/6 (83.33%),2.60,1.14,3.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,8,The course was difficult.,Neither agree nor disagree,(3),2,40.00%,5/6 (83.33%),2.60,1.14,3.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,8,The course was difficult.,Agree,(4),1,20.00%,5/6 (83.33%),2.60,1.14,3.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,8,The course was difficult.,Strongly agree,(5),0,0.00%,5/6 (83.33%),2.60,1.14,3.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,1,(1),0,0.00%,5/6 (83.33%),4.60,2.30,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,2,(2),1,20.00%,5/6 (83.33%),4.60,2.30,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,3,(3),1,20.00%,5/6 (83.33%),4.60,2.30,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,4,(4),0,0.00%,5/6 (83.33%),4.60,2.30,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,5,(5),2,40.00%,5/6 (83.33%),4.60,2.30,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6,(6),0,0.00%,5/6 (83.33%),4.60,2.30,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7,(7),0,0.00%,5/6 (83.33%),4.60,2.30,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,8,(8),1,20.00%,5/6 (83.33%),4.60,2.30,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,9,(9),0,0.00%,5/6 (83.33%),4.60,2.30,5.00
HLTHPOL-395T-10_Goodwin__Rory_Fall_2024.html,Fall 2024,HLTHPOL-395T-10 : BASS CONNECTION HEALTH POLICY.HLTHPOL-395T-10.,Rory Goodwin,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,10+,(10),0,0.00%,5/6 (83.33%),4.60,2.30,5.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,7/8 (87.5%),5.00,0.00,5.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,7/8 (87.5%),5.00,0.00,5.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,7/8 (87.5%),5.00,0.00,5.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),0,0.00%,7/8 (87.5%),5.00,0.00,5.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),7,100.00%,7/8 (87.5%),5.00,0.00,5.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,7/8 (87.5%),5.00,0.00,5.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,7/8 (87.5%),5.00,0.00,5.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),0,0.00%,7/8 (87.5%),5.00,0.00,5.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),0,0.00%,7/8 (87.5%),5.00,0.00,5.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),7,100.00%,7/8 (87.5%),5.00,0.00,5.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,7/8 (87.5%),5.00,0.00,5.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,7/8 (87.5%),5.00,0.00,5.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),0,0.00%,7/8 (87.5%),5.00,0.00,5.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),0,0.00%,7/8 (87.5%),5.00,0.00,5.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),7,100.00%,7/8 (87.5%),5.00,0.00,5.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,8,The course was difficult.,Strongly disagree,(1),0,0.00%,7/8 (87.5%),3.29,1.11,3.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,8,The course was difficult.,Disagree,(2),2,28.57%,7/8 (87.5%),3.29,1.11,3.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,8,The course was difficult.,Neither agree nor disagree,(3),2,28.57%,7/8 (87.5%),3.29,1.11,3.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,8,The course was difficult.,Agree,(4),2,28.57%,7/8 (87.5%),3.29,1.11,3.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,8,The course was difficult.,Strongly agree,(5),1,14.29%,7/8 (87.5%),3.29,1.11,3.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,1,(1),0,0.00%,7/8 (87.5%),6.86,2.91,8.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,2,(2),0,0.00%,7/8 (87.5%),6.86,2.91,8.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,3,(3),2,28.57%,7/8 (87.5%),6.86,2.91,8.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,4,(4),0,0.00%,7/8 (87.5%),6.86,2.91,8.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,5,(5),0,0.00%,7/8 (87.5%),6.86,2.91,8.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6,(6),1,14.29%,7/8 (87.5%),6.86,2.91,8.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7,(7),0,0.00%,7/8 (87.5%),6.86,2.91,8.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,8,(8),1,14.29%,7/8 (87.5%),6.86,2.91,8.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,9,(9),2,28.57%,7/8 (87.5%),6.86,2.91,8.00
HLTHPOL-396T-02_Hogan__Wesley_Spring_2024.html,Spring 2024,HLTHPOL-396T-02 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-02.,Wesley Hogan,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,10+,(10),1,14.29%,7/8 (87.5%),6.86,2.91,8.00
HLTHPOL-396T-09_Hogan__Wesley_Spring_2025.html,Spring 2025,HLTHPOL-396T-09 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-09.,Wesley Hogan,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
HLTHPOL-396T-09_Hogan__Wesley_Spring_2025.html,Spring 2025,HLTHPOL-396T-09 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-09.,Wesley Hogan,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
HLTHPOL-396T-09_Hogan__Wesley_Spring_2025.html,Spring 2025,HLTHPOL-396T-09 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-09.,Wesley Hogan,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,11/11 (100%),5.00,0.00,5.00
HLTHPOL-396T-09_Hogan__Wesley_Spring_2025.html,Spring 2025,HLTHPOL-396T-09 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-09.,Wesley Hogan,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,11/11 (100%),5.00,0.00,5.00
HLTHPOL-396T-09_Hogan__Wesley_Spring_2025.html,Spring 2025,HLTHPOL-396T-09 : BASS CONNECTION HEALTH POLICY.HLTHPOL-396T-09.,Wesley Hogan,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,11/11 (100%),5.00,0.00,5.00
